Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change
71-72,"$13,820 ",—,"$3,250 ",—,"$1,430 ",—,"$22,130 ",—,"$10,650 ",—
72-73,"$14,270 ",3.30%,"$3,660 ",12.60%,"$1,680 ",17.50%,"$22,610 ",2.20%,"$11,340 ",6.50%
73-74,"$14,120 ",-1.10%,"$3,510 ",-4.10%,"$1,860 ",10.70%,"$22,180 ",-1.90%,"$11,020 ",-2.80%
74-75,"$13,210 ",-6.40%,"$3,160 ",-10.00%,"$1,740 ",-6.50%,"$21,220 ",-4.30%,"$10,240 ",-7.10%
75-76,"$13,020 ",-1.40%,"$3,070 ",-2.80%,"$1,420 ",-18.40%,"$20,920 ",-1.40%,"$10,120 ",-1.20%
76-77,"$13,600 ",4.50%,"$3,330 ",8.50%,"$1,500 ",5.60%,"$21,390 ",2.20%,"$10,430 ",3.10%
77-78,"$13,630 ",0.20%,"$3,330 ",0.00%,"$1,560 ",4.00%,"$21,400 ",0.00%,"$10,300 ",-1.20%
78-79,"$13,880 ",1.80%,"$3,240 ",-2.70%,"$1,550 ",-0.60%,"$21,620 ",1.00%,"$10,080 ",-2.10%
79-80,"$13,610 ",-1.90%,"$3,120 ",-3.70%,"$1,520 ",-1.90%,"$21,100 ",-2.40%,"$9,820 ",-2.60%
80-81,"$13,440 ",-1.20%,"$2,970 ",-4.80%,"$1,450 ",-4.60%,"$20,750 ",-1.70%,"$9,460 ",-3.70%
81-82,"$13,830 ",2.90%,"$3,060 ",3.00%,"$1,450 ",0.00%,"$21,300 ",2.70%,"$9,660 ",2.10%
82-83,"$14,700 ",6.30%,"$3,260 ",6.50%,"$1,490 ",2.80%,"$22,600 ",6.10%,"$10,140 ",5.00%
83-84,"$15,630 ",6.30%,"$3,530 ",8.30%,"$1,630 ",9.40%,"$23,830 ",5.40%,"$10,530 ",3.80%
84-85,"$16,370 ",4.70%,"$3,620 ",2.50%,"$1,710 ",4.90%,"$24,870 ",4.40%,"$10,830 ",2.80%
85-86,"$17,390 ",6.20%,"$3,750 ",3.60%,"$1,820 ",6.40%,"$25,300 ",1.70%,"$10,970 ",1.30%
86-87,"$18,580 ",6.80%,"$3,930 ",4.80%,"$1,840 ",1.10%,"$27,490 ",8.70%,"$11,300 ",3.00%
87-88,"$18,980 ",2.20%,"$4,010 ",2.00%,"$1,990 ",8.20%,"$28,160 ",2.40%,"$11,310 ",0.10%
88-89,"$20,680 ",9.00%,"$4,080 ",1.70%,"$2,070 ",4.00%,"$30,140 ",7.00%,"$11,530 ",1.90%
89-90,"$21,360 ",3.30%,"$4,190 ",2.70%,"$2,070 ",0.00%,"$30,980 ",2.80%,"$11,640 ",1.00%
90-91,"$21,850 ",2.30%,"$4,470 ",6.70%,"$2,130 ",2.90%,"$31,540 ",1.80%,"$11,860 ",1.90%
91-92,"$22,030 ",0.80%,"$4,740 ",6.00%,"$2,630 ",23.50%,"$31,860 ",1.00%,"$12,240 ",3.20%
92-93,"$22,780 ",3.40%,"$5,080 ",7.20%,"$2,440 ",-7.20%,"$32,760 ",2.80%,"$12,710 ",3.80%
93-94,"$23,300 ",2.30%,"$5,380 ",5.90%,"$2,650 ",8.60%,"$33,440 ",2.10%,"$13,140 ",3.40%
94-95,"$24,190 ",3.80%,"$5,590 ",3.90%,"$2,700 ",1.90%,"$34,050 ",1.80%,"$13,660 ",4.00%
95-96,"$24,520 ",1.40%,"$5,640 ",0.90%,"$2,670 ",-1.10%,"$34,880 ",2.40%,"$13,530 ",-1.00%
96-97,"$25,320 ",3.30%,"$5,810 ",3.00%,"$2,870 ",7.50%,"$35,790 ",2.60%,"$13,920 ",2.90%
97-98,"$26,280 ",3.80%,"$5,930 ",2.10%,"$2,990 ",4.20%,"$36,890 ",3.10%,"$14,230 ",2.20%
